,Rotation_angle_float,total_score_mean,total_score_sd,score_per_res_mean,score_per_res_sd,%score_deviation_mean,%score_deviation_sd,Rotation_angle_float_rad
0,0.0,671.8148620689656,8.4700111516377,0.17754092549391268,0.00223837504007339,0.0012612925797706208,0.012591754763164468,0.0
1,0.106509,677.6925185185186,9.96645961509197,0.1790942173674732,0.002633842392994708,-0.007476595395806979,0.01481641677720289,0.0018589327330066404
2,0.213018,672.1041333333334,6.317760621190609,0.1776173713883016,0.0016695984728305065,0.0008312538518705018,0.009392159109380642,0.003717865466013281
3,0.319527,670.3851333333333,7.571050086317197,0.1771630902043693,0.002000806048181085,0.003386767185957966,0.011255334176048709,0.005576798199019921
4,0.426036,669.7808,5.745326848839847,0.17700338266384777,0.00151832104884774,0.004285185971046307,0.008541163101164038,0.007435730932026562
5,0.532544,671.7356666666667,15.897786717773295,0.17751999647639183,0.0042013178429633445,0.001379026673181388,0.023634093042320135,0.009294646211740682
6,0.639053,670.7545333333333,7.363333997068253,0.1772607117688513,0.0019459127899228992,0.0028376068452878734,0.010946537645635556,0.011153578944747323
7,0.745562,670.3746666666667,10.037840047018275,0.1771603241719521,0.0026527061435037717,0.003402327224486237,0.014922532917738426,0.013012511677753962
8,0.852071,668.7602,5.569397648887051,0.17673366807610993,0.0014718281313126445,0.005802438390342221,0.008279621846751746,0.014871444410760604
9,0.95858,676.3402000000001,7.091545954766946,0.17873683932346723,0.0018740871973485596,-0.005466200976954486,0.01054248996317684,0.016730377143767242
10,1.065089,666.9043636363637,6.534804704667019,0.17624322506246395,0.0017269568458422402,0.00856137647827538,0.009714822896122223,0.018589309876773884
11,1.171598,669.388551724138,6.508916821156123,0.17689972297149523,0.001720115438994747,0.004868313195734114,0.009676337246614715,0.020448242609780523
12,1.278107,672.2577741935485,8.655846739669377,0.17765797415262904,0.002287485924859772,0.0006028470648197506,0.012868023130333132,0.022307175342787165
13,1.384615,671.9533181818182,10.05689093955632,0.17757751537574476,0.0026577407345550518,0.0010554598615734898,0.01495085450581711,0.024166090622501284
14,1.491124,673.7138636363636,10.305273015932206,0.17804277580242167,0.0027233808181638995,-0.0015618161037307746,0.015320106226658813,0.026025023355507923
15,1.597633,676.3372857142857,9.316946582131171,0.17873606916339474,0.0024621951855526383,-0.0054618685185471635,0.013850832590818435,0.02788395608851457
16,1.704142,674.2506999999999,7.171989285961652,0.17818464587737842,0.0018953460058038175,-0.002359892011523539,0.010662079262482506,0.029742888821521207
17,1.810651,678.4453793103448,10.472661312108201,0.17929317635051395,0.0027676166258213952,-0.008595819242359509,0.015568950335354551,0.03160182155452784
18,1.91716,681.7367272727273,8.758762497836443,0.18016298289448396,0.0023146835353690374,-0.013488828902039528,0.013021020566216568,0.033460754287534485
19,2.023669,677.3566388888889,13.184992107160069,0.17900545425182054,0.0034844059479809835,-0.006977267372440595,0.01960117692826383,0.03531968702054113
20,2.130178,678.9204137931034,8.29037708308872,0.17941871400451992,0.0021909030346428976,-0.009302018750702136,0.012324705747787323,0.03717861975354777
21,2.236686,675.9544642857143,8.687905388280571,0.17863490070975538,0.0022959580835836594,-0.004892755507908002,0.012915682411309666,0.03903753503326189
22,2.343195,670.7030967741935,7.775000764650917,0.1772471185978313,0.002054704218988087,0.002914073868406701,0.011558532941597298,0.040896467766268534
23,2.449704,671.3117500000001,9.150902911303614,0.1774079677589852,0.00241831472286037,0.0020092330107082074,0.013603987439660426,0.04275540049927517
24,2.556213,668.4901379310345,5.679589470351147,0.17666229860756724,0.0015009485915304561,0.0062039201927114075,0.008443436081224696,0.04461433323228181
25,2.662722,669.0243214285714,6.480631502456741,0.17680346760797344,0.0017126404604801157,0.00540978810963686,0.009634287503103859,0.04647326596528845
26,2.769231,676.2590526315789,7.468122361623924,0.1787153944586625,0.0019736052752705934,-0.005345565036276138,0.01110231895039369,0.04833219869829509
27,2.87574,676.2417586206896,8.826306684545658,0.17871082415980172,0.002332533479002551,-0.0053198552774468685,0.013121433637639174,0.05019113143130172
28,2.982249,674.6471081081081,10.059397540453219,0.17828940489114908,0.002658403155510899,-0.0029492033588246866,0.014954580888606716,0.05205006416430837
29,3.088757,675.2756756756756,5.9176526692696445,0.17845551682760985,0.00156386169906703,-0.0038836494322940446,0.00879734747109768,0.053908979444022495
30,3.195266,678.0152702702702,8.231380958288852,0.17917951117079026,0.0021753120925710493,-0.00795640714985102,0.0122370004635607,0.05576791217702914
31,3.301775,678.2873414634146,9.891057766007052,0.17925141159181146,0.0026139159001075584,-0.008360875772248644,0.01470432228578262,0.05762684491003578
32,3.408284,683.0237,12.738719210100891,0.18050309196617334,0.003366469135861755,-0.015402078445467303,0.018937735195235006,0.059485777643042415
